model,corpus,theta,gamma,R2,ci_lo,ci_hi,dR2_pow_exp,source
deepseek-ai/deepseek-llm-7b-chat,mongo,10000,0.1513,0.8515,0.0761,0.2322,0.4118,e4_gamma
meta-llama/Llama-2-7b-hf,mongo,10000,0.2871,0.8149,0.1288,0.5473,0.4284,e4_gamma
meta-llama/Llama-2-7b-hf,mongo,10000,0.2871,0.8149,,,,master
mistralai/Mistral-Nemo-Instruct-2407,mongo,1000000.0,0.376,0.9215,,,,master
codellama/CodeLlama-13b-Instruct-hf,mongo,1000000,0.3823,0.9288,0.2548,0.598,0.3856,e4_gamma
mistralai/Mistral-Nemo-Instruct-2407,mongo,1000000,0.4284,0.9224,0.3195,0.5374,0.36296338133653094,e4_gamma
01-ai/Yi-6B,mongo,5000000.0,0.4577,0.9452,0.3224,0.6319,0.371,e4_gamma
codellama/CodeLlama-13b-Instruct-hf,mongo,1000000.0,0.5087,0.9761,,,,master
EleutherAI/pythia-160m,mongo,10000,0.5109,0.9169,0.3277,0.7113,0.4003,e4_gamma
allenai/OLMo-7B,mongo,10000,0.5244,0.9769,0.4471,0.6152,0.3268,e4_gamma
allenai/OLMo-7B,random,10000,0.5412,0.9637,0.4481,0.6342,0.2174,e4_gamma
allenai/OLMo-7B-hf,random,500000.0,0.5509,0.9578,0.464,0.682,0.3141,e4_gamma
EleutherAI/pythia-2.8b,random,10000,0.5512,0.6444,0.2361,0.9185,0.417,e4_gamma
01-ai/Yi-9B,mongo,5000000.0,0.5529,0.9396,0.3931,0.8018,0.3834,e4_gamma
HuggingFaceTB/SmolLM2-135M,random,100000,0.6267,0.8285,0.4323,0.9157,0.3475,e4_gamma
google/gemma-2-9b-it,mongo,10000,0.6276,0.9773,0.4954,0.7238,0.2127,e4_gamma
google/gemma-2-9b-it,mongo,10000,0.6276,0.9773,,,,master
microsoft/phi-3-mini-4k-instruct,mongo,10000.0,0.6296,0.9853,0.5631,0.7115,0.2314,e4_gamma
